"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Mon Apr 17 2023 00:00:00 GMT+0530 (India Standard Time)","481.05","517.00","481.05","511.40","4.28","3.64","556,576"
"Mon Apr 24 2023 00:00:00 GMT+0530 (India Standard Time)","512.45","568.50","507.65","564.10","10.31","9.66","581,599"
"Mon May 01 2023 00:00:00 GMT+0530 (India Standard Time)","563.50","563.50","535.15","551.00","-2.32","-2.97","220,839"
"Mon May 08 2023 00:00:00 GMT+0530 (India Standard Time)","550.60","615.80","550.50","612.70","11.20","10.55","1,101,585"
"Mon May 15 2023 00:00:00 GMT+0530 (India Standard Time)","613.00","630.00","597.95","624.20","1.88","1.23","988,249"
"Mon May 22 2023 00:00:00 GMT+0530 (India Standard Time)","585.10","625.70","581.20","591.55","-5.23","-5.88","503,456"
"Mon May 29 2023 00:00:00 GMT+0530 (India Standard Time)","591.55","615.00","588.00","613.55","3.72","3.07","225,405"
"Mon Jun 05 2023 00:00:00 GMT+0530 (India Standard Time)","608.05","682.00","608.05","636.05","3.67","3.02","342,572"
"Mon Jun 12 2023 00:00:00 GMT+0530 (India Standard Time)","645.00","652.75","628.25","642.40","1.00","0.35","154,944"
"Mon Jun 19 2023 00:00:00 GMT+0530 (India Standard Time)","630.05","654.15","620.05","632.95","-1.47","-2.12","180,119"
"Mon Jun 26 2023 00:00:00 GMT+0530 (India Standard Time)","629.05","684.00","629.00","675.90","6.79","6.14","233,341"
"Mon Jul 03 2023 00:00:00 GMT+0530 (India Standard Time)","670.05","693.60","647.65","689.00","1.94","1.29","205,227"
"Mon Jul 10 2023 00:00:00 GMT+0530 (India Standard Time)","690.05","704.10","661.00","701.80","1.86","1.21","202,931"
"Mon Jul 17 2023 00:00:00 GMT+0530 (India Standard Time)","702.10","755.00","695.55","753.10","7.31","6.66","237,139"
"Mon Jul 24 2023 00:00:00 GMT+0530 (India Standard Time)","753.20","832.90","753.20","798.50","6.03","5.38","319,945"
"Mon Jul 31 2023 00:00:00 GMT+0530 (India Standard Time)","814.95","824.65","771.00","803.45","0.62","-0.03","202,595"
"Mon Aug 07 2023 00:00:00 GMT+0530 (India Standard Time)","805.05","836.30","792.90","801.60","-0.23","-0.88","160,986"
"Mon Aug 14 2023 00:00:00 GMT+0530 (India Standard Time)","809.45","814.50","763.70","765.50","-4.50","-5.15","109,537"
"Mon Aug 21 2023 00:00:00 GMT+0530 (India Standard Time)","765.00","781.90","737.15","739.45","-3.40","-4.05","150,586"
"Mon Aug 28 2023 00:00:00 GMT+0530 (India Standard Time)","731.20","777.00","731.20","756.65","2.33","1.68","381,512"
"Mon Sep 04 2023 00:00:00 GMT+0530 (India Standard Time)","750.75","804.50","750.75","776.45","2.62","1.97","315,724"
"Mon Sep 11 2023 00:00:00 GMT+0530 (India Standard Time)","772.05","872.95","772.05","856.00","10.25","9.60","398,966"
"Mon Sep 18 2023 00:00:00 GMT+0530 (India Standard Time)","856.05","879.15","775.00","802.25","-6.28","-6.93","493,989"
"Mon Sep 25 2023 00:00:00 GMT+0530 (India Standard Time)","795.05","860.55","753.80","854.80","6.55","5.90","651,341"
"Mon Oct 02 2023 00:00:00 GMT+0530 (India Standard Time)","854.45","859.90","785.50","793.70","-7.15","-7.79","204,680"
"Mon Oct 09 2023 00:00:00 GMT+0530 (India Standard Time)","780.10","809.25","778.35","796.65","0.37","-0.27","254,521"
"Mon Oct 16 2023 00:00:00 GMT+0530 (India Standard Time)","800.00","811.70","776.00","781.10","-1.95","-2.60","113,452"
"Mon Oct 23 2023 00:00:00 GMT+0530 (India Standard Time)","794.30","794.30","731.00","743.75","-4.78","-5.43","86,641"
"Mon Oct 30 2023 00:00:00 GMT+0530 (India Standard Time)","736.05","762.20","735.00","746.20","0.33","-0.32","60,288"
"Mon Nov 06 2023 00:00:00 GMT+0530 (India Standard Time)","748.05","799.90","702.05","763.20","2.28","1.63","273,801"
"Mon Nov 13 2023 00:00:00 GMT+0530 (India Standard Time)","762.80","783.20","722.25","775.75","1.64","1.00","383,249"
"Mon Nov 20 2023 00:00:00 GMT+0530 (India Standard Time)","778.95","799.70","761.15","787.00","1.45","0.80","154,828"
"Mon Nov 27 2023 00:00:00 GMT+0530 (India Standard Time)","783.05","798.05","764.25","792.25","0.67","0.02","173,242"
"Mon Dec 04 2023 00:00:00 GMT+0530 (India Standard Time)","795.45","827.10","772.70","795.70","0.44","-0.21","281,330"
"Mon Dec 11 2023 00:00:00 GMT+0530 (India Standard Time)","799.15","839.30","790.65","824.45","3.61","2.97","187,566"
"Mon Dec 18 2023 00:00:00 GMT+0530 (India Standard Time)","821.40","849.50","774.30","838.50","1.70","1.06","303,200"
"Mon Dec 25 2023 00:00:00 GMT+0530 (India Standard Time)","840.00","857.95","829.00","854.00","1.85","1.20","132,197"
"Mon Jan 01 2024 00:00:00 GMT+0530 (India Standard Time)","854.00","912.80","850.00","893.40","4.61","3.97","350,952"
"Mon Jan 08 2024 00:00:00 GMT+0530 (India Standard Time)","893.40","898.25","866.00","868.90","-2.74","-3.39","209,183"
"Mon Jan 15 2024 00:00:00 GMT+0530 (India Standard Time)","868.10","915.95","848.00","875.05","0.71","0.06","265,714"
"Mon Jan 22 2024 00:00:00 GMT+0530 (India Standard Time)","874.05","913.00","853.80","890.25","1.74","1.09","105,710"
"Mon Jan 29 2024 00:00:00 GMT+0530 (India Standard Time)","842.25","922.25","842.25","886.20","-0.45","-1.10","146,732"
"Mon Feb 05 2024 00:00:00 GMT+0530 (India Standard Time)","881.05","897.55","830.35","842.50","-4.93","-5.58","104,815"
"Mon Feb 12 2024 00:00:00 GMT+0530 (India Standard Time)","845.85","890.50","766.65","872.80","3.60","2.95","823,251"
"Mon Feb 19 2024 00:00:00 GMT+0530 (India Standard Time)","875.00","919.20","853.15","900.30","3.15","2.50","318,236"
"Mon Feb 26 2024 00:00:00 GMT+0530 (India Standard Time)","902.45","941.65","899.25","928.90","3.18","2.53","322,555"
"Mon Mar 04 2024 00:00:00 GMT+0530 (India Standard Time)","928.50","963.95","903.60","954.45","2.75","2.10","220,721"
"Mon Mar 11 2024 00:00:00 GMT+0530 (India Standard Time)","959.55","974.05","883.50","926.45","-2.93","-3.58","245,980"
